hectare,long,lat,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,geometry,hectare_freq
17E,-73.96779782785714,40.77890784428571,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.07142857142857142,POINT (-73.96779782785714 40.77890784428571),14
17F,-73.96734129307693,40.778555689230764,0.3076923076923077,0.0,0.38461538461538464,0.5384615384615384,0.0,0.07692307692307693,0.0,0.0,0.23076923076923078,0.0,0.0,0.5384615384615384,0.15384615384615385,POINT (-73.96734129307693 40.778555689230764),13
17G,-73.96624602199999,40.778019648,0.6,0.4,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,POINT (-73.96624602199999 40.778019648),5
17H,-73.965249925,40.777654645,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,POINT (-73.965249925 40.777654645),2
17I,-73.964287512,40.777390636,0.4,0.0,0.6,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.2,POINT (-73.964287512 40.777390636),5
18A,-73.97179472,40.781175389999994,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,POINT (-73.97179472 40.781175389999994),3
18C,-73.96953761636364,40.780462663636364,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.18181818181818182,POINT (-73.96953761636364 40.780462663636364),11
18D,-73.96842641399999,40.78051483,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-73.96842641399999 40.78051483),5
18E,-73.9678823,40.7802961,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-73.9678823 40.7802961),1
18F,-73.9667419225,40.7793198025,0.0,0.0,0.0,0.75,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.75,0.25,POINT (-73.9667419225 40.7793198025),4
18G,-73.96562596714286,40.77879032,0.42857142857142855,0.0,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,POINT (-73.96562596714286 40.77879032),7
18H,-73.964517438,40.778100874,0.4,0.4,0.2,0.2,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.6,0.0,POINT (-73.964517438 40.778100874),5
18I,-73.96388220749999,40.7777056125,0.0,0.08333333333333333,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.75,0.16666666666666666,POINT (-73.96388220749999 40.7777056125),12
19A,-73.97061252333333,40.78238505666667,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,POINT (-73.97061252333333 40.78238505666667),6
19B,-73.96985239428571,40.781672025714286,0.42857142857142855,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.2857142857142857,POINT (-73.96985239428571 40.781672025714286),7
19C,-73.96886585,40.78151820125,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.125,0.125,0.375,0.0,POINT (-73.96886585 40.78151820125),8
19D,-73.9681358325,40.781209435,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,POINT (-73.9681358325 40.781209435),4
19E,-73.966848172,40.780397291999996,0.4,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.2,POINT (-73.966848172 40.780397291999996),5
19F,-73.965543685,40.779974327000005,0.2,0.3,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.3,0.2,0.5,0.2,POINT (-73.965543685 40.779974327000005),10
19G,-73.96495227999999,40.77986698666667,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,POINT (-73.96495227999999 40.77986698666667),3
19H,-73.96442557333334,40.779348055,0.3333333333333333,0.0,0.3333333333333333,1.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666,0.3333333333333333,POINT (-73.96442557333334 40.779348055),6
20A,-73.97053105666667,40.78296841,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,POINT (-73.97053105666667 40.78296841),3
20B,-73.9693994576923,40.78246148615384,0.07692307692307693,0.15384615384615385,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.46153846153846156,0.15384615384615385,POINT (-73.9693994576923 40.78246148615384),13
20C,-73.9680170288889,40.78204882222222,0.7777777777777778,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.1111111111111111,POINT (-73.9680170288889 40.78204882222222),9
20D,-73.96728639999999,40.78116755666667,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,POINT (-73.96728639999999 40.78116755666667),3
20E,-73.96603633000001,40.780899065,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,POINT (-73.96603633000001 40.780899065),2
20F,-73.96524861529412,40.78090339176471,0.11764705882352941,0.0,0.4117647058823529,0.35294117647058826,0.4117647058823529,0.11764705882352941,0.0,0.0,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.29411764705882354,0.29411764705882354,POINT (-73.96524861529412 40.78090339176471),17
20G,-73.96457642166666,40.78069692333333,0.5,0.0,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.5,POINT (-73.96457642166666 40.78069692333333),6
21A,-73.96984505,40.78387486333333,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,POINT (-73.96984505 40.78387486333333),9
21B,-73.9690179,40.783468080000006,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.45454545454545453,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.5454545454545454,0.09090909090909091,POINT (-73.9690179 40.783468080000006),11
21C,-73.96762267,40.78275804,0.6,0.4,0.4,0.0,0.2,0.0,0.4,0.0,0.6,0.4,0.0,0.4,0.0,POINT (-73.96762267 40.78275804),5
21D,-73.96701949083332,40.78256945583333,0.16666666666666666,0.0,0.16666666666666666,0.25,0.5,0.0,0.0,0.0,0.08333333333333333,0.25,0.08333333333333333,0.25,0.4166666666666667,POINT (-73.96701949083332 40.78256945583333),12
21E,-73.965336746,40.781748033999996,0.0,0.4,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.0,POINT (-73.965336746 40.781748033999996),5
21F,-73.96466119272728,40.781514234545455,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.2727272727272727,0.5454545454545454,POINT (-73.96466119272728 40.781514234545455),11
21G,-73.96390727090909,40.78103928090909,0.0,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.0,0.0,0.0,0.36363636363636365,0.09090909090909091,0.0,0.5454545454545454,0.18181818181818182,POINT (-73.96390727090909 40.78103928090909),11
21H,-73.96271838833333,40.780960915,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,POINT (-73.96271838833333 40.780960915),6
22A,-73.9692132711111,40.784368056666665,0.1111111111111111,0.0,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.4444444444444444,POINT (-73.9692132711111 40.784368056666665),9
22B,-73.96847306083333,40.784004435,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.5,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.3333333333333333,0.08333333333333333,POINT (-73.96847306083333 40.784004435),12
22C,-73.967215191875,40.783743903125,0.3125,0.0625,0.375,0.25,0.125,0.25,0.1875,0.0,0.0625,0.0,0.0,0.0,0.125,POINT (-73.967215191875 40.783743903125),16
22D,-73.9661778,40.783452669999996,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285,POINT (-73.9661778 40.783452669999996),7
