,long,lat,geometry,approaches,indifferent,runs_from,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,nearbuilding,neargarden,neargrass,nearpedestrian,nearwater,nearwoods
724,-73.9590132705889,40.7952248279764,POINT (-73.9590132705889 40.7952248279764),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
725,-73.9585133340331,40.7963721679474,POINT (-73.9585133340331 40.7963721679474),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
726,-73.9748247677824,40.7667893867839,POINT (-73.9748247677824 40.7667893867839),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
727,-73.9777998932399,40.7709815865334,POINT (-73.9777998932399 40.7709815865334),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
728,-73.9527227282134,40.7935061484064,POINT (-73.9527227282134 40.7935061484064),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,True
729,-73.9717469822209,40.7753731930704,POINT (-73.9717469822209 40.7753731930704),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
730,-73.9679457364586,40.7717350221981,POINT (-73.9679457364586 40.7717350221981),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
731,-73.9767247593654,40.7726200054197,POINT (-73.9767247593654 40.7726200054197),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
732,-73.976864402584,40.7705663751959,POINT (-73.976864402584 40.7705663751959),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
733,-73.9811585807616,40.768706748732,POINT (-73.9811585807616 40.768706748732),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False
734,-73.9719109949232,40.7723138521327,POINT (-73.9719109949232 40.7723138521327),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False
735,-73.9683345414813,40.7779016280345,POINT (-73.9683345414813 40.7779016280345),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
736,-73.9770873939997,40.7710379662106,POINT (-73.9770873939997 40.7710379662106),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
737,-73.9603597117619,40.7824399298414,POINT (-73.9603597117619 40.7824399298414),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
738,-73.9701010964667,40.7688919314508,POINT (-73.9701010964667 40.7688919314508),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False
739,-73.967762162893,40.7823359027165,POINT (-73.967762162893 40.7823359027165),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
740,-73.9656750232596,40.7833002587016,POINT (-73.9656750232596 40.7833002587016),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True
741,-73.9558943880051,40.7971535141896,POINT (-73.9558943880051 40.7971535141896),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
